Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201503,Mar-15,4,0,1,Imports,800,Uganda,,586,Pakistan,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,105,,551,,,0
HS,2015,201503,Mar-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,3591,,9405,,,0
HS,2015,201503,Mar-15,4,0,1,Imports,800,Uganda,,826,United Kingdom,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,612,,2143,,,0
HS,2015,201503,Mar-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,2107,,7843,,,0
HS,2015,201503,Mar-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,14679,,51281,,,0
HS,2015,201503,Mar-15,4,0,2,Exports,800,Uganda,,706,Somalia,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,250,,67,,,0
HS,2015,201503,Mar-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,801049,,2949451,,,0
HS,2015,201503,Mar-15,4,0,2,Exports,800,Uganda,,180,Dem.Rep. of the Congo,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,2370,,8292,,,0
HS,2015,201503,Mar-15,4,0,2,Exports,800,Uganda,,404,Kenya,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,783750,,2889812,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,93522,,165905,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,36,Australia,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,10,,17,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,156,China,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,320,,3339,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,7837,,35292,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,458,Malaysia,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,42120,,18320,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,512,Oman,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,15326,,53615,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,528,Netherlands,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,19061,,36175,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,554,New Zealand,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,59,,185,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,6410,,16643,,,0
HS,2015,201504,Apr-15,4,0,1,Imports,800,Uganda,,826,United Kingdom,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,2379,,2320,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,834,United Rep. of Tanzania,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,8453,,35128,,,0
HS,2015,201504,Apr-15,4,0,2,Exports,800,Uganda,,646,Rwanda,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,3598,,8794,,,0
